vendor_id,vendor_name,rating,gst_number
3442f8959a84dea7ee197c632cb2df15,Campinas Merchant 3442F8,3.0,GST-SP-1A4E8A35
d1b65fc7debc3361ea86b5f14c68d2e2,Mogi Guacu Merchant D1B65F,4.55,GST-SP-3411CA6F
ce3ad9de960102d0677a81f5d0bb7b2d,Rio De Janeiro Merchant CE3AD9,5.0,GST-RJ-861E10A6
c0f3eea2e14555b6faeea3dd58c1b1c3,Sao Paulo Merchant C0F3EE,5.0,GST-SP-8C66EB30
51a04a8a6bdcb23deccc82b0b80742cf,Braganca Paulista Merchant 51A04A,1.0,GST-SP-00AEAF26
c240c4061717ac1806ae6ee72be3533b,Rio De Janeiro Merchant C240C4,4.0,GST-RJ-D2EDCF62
e49c26c3edfa46d227d5121a6b6e4d37,Brejao Merchant E49C26,4.46,GST-PE-22AC23FE
1b938a7ec6ac5061a66a3766e0e75f90,Penapolis Merchant 1B938A,4.3,GST-SP-B80683D5
768a86e36ad6aae3d03ee3c6433d61df,Sao Paulo Merchant 768A86,4.65,GST-SP-984A3D5F
ccc4bbb5f32a6ab2b7066a4130f114e3,Curitiba Merchant CCC4BB,4.28,GST-PR-84DAF9E3
8cb7c5ddf41f4d506eba76e9a4702a25,Anapolis Merchant 8CB7C5,3.0,GST-GO-0D82FBD2
a7a9b880c49781da66651ccf4ba9ac38,Itirapina Merchant A7A9B8,3.67,GST-SP-AC5895D7
8bd0f31cf0a614c658f6763bd02dea69,Sao Paulo Merchant 8BD0F3,4.28,GST-SP-078F921A
05a48cc8859962767935ab9087417fbb,Sao Paulo Merchant 05A48C,5.0,GST-SP-AC52021E
7b8e8ec35bad4b0ef7e3963650b0a87b,Tubarao Merchant 7B8E8E,4.8,GST-SC-C262D69D
1444c08e64d55fb3c25f0f09c07ffcf2,Lauro De Freitas Merchant 1444C0,1.0,GST-BA-5E29F2D8
166e8f1381e09651983c38b1f6f91c11,Imbituba Merchant 166E8F,5.0,GST-SC-5C22148D
e38db885400cd35c71dfd162f2c1dbcf,Brasilia Merchant E38DB8,4.47,GST-DF-E1EED75C
d2e753bb80b7d4faa77483ed00edc8ca,Porto Seguro Merchant D2E753,3.6,GST-BA-DCCC954B
f9ec7093df3a7b346b7bcf7864069ca3,Sao Paulo Merchant F9EC70,4.78,GST-SP-66FF2ED6
4e6015589b781adaa5ce7f1892d06bb1,Guaruja Merchant 4E6015,3.67,GST-SP-08CEA730
4cf490a58259286ada5ba8525ba9e84a,Tabatinga Merchant 4CF490,3.12,GST-SP-553410C8
f7496d659ca9fdaf323c0aae84176632,Sao Paulo Merchant F7496D,4.58,GST-SP-74DF9E6C
2ff97219cb8622eaf3cd89b7d9c09824,Salto Merchant 2FF972,4.53,GST-SP-C516D7F8
8bd0e3abda539b9479c4b44a691be1ec,Tres De Maio Merchant 8BD0E3,2.62,GST-RS-43732703
2a1348e9addc1af5aaa619b1a3679d6b,Belo Horizonte Merchant 2A1348,3.12,GST-MG-E39BC8CA
2078fe5066350e7d220c0ad3a3bbc6c1,Arapongas Merchant 2078FE,2.0,GST-PR-E02628BB
116ccb1a1604bc88e4d234a8c23f33de,Sao Bernardo Do Campo Merchant 116CCB,4.64,GST-SP-28588DB9
430315b7bb4b6e4b3c978f9dfa9b0558,Sao Paulo Merchant 430315,3.95,GST-SP-C482576E
406822777a0b9eb5c50e442dd4cd3ec5,Tatui Merchant 406822,4.3,GST-SP-5AFEF4A0
4dbd95a08b31ede5c82d3f861cb1ce1a,Curitiba Merchant 4DBD95,3.5,GST-PR-4516E088
e9e446d01bd10a97a8ffcfc4a3a20cb2,Sao Paulo Merchant E9E446,3.5,GST-SP-C36EBBC4
d52cbce9845184537284a23c3bc3da0e,Garopaba Merchant D52CBC,5.0,GST-SC-51510EAF
d9a84e1403de8da0c3aa531d6d108ba6,Sao Paulo Merchant D9A84E,4.52,GST-SP-6EC277E6
9c690ceacd5c66731bf443ea810195cb,Camanducaia Merchant 9C690C,4.3,GST-MG-7383CBFC
1f9ab4708f3056ede07124aad39a2554,Tupa Merchant 1F9AB4,4.08,GST-SP-D749FF86
1961c3e1272bfeceb05d0b78b5bbfdaf,Guarulhos Merchant 1961C3,3.33,GST-SP-E4DC64D3
d3e7d37c0df9aef383f3f2a15b0dddfb,Sao Jose Dos Pinhais Merchant D3E7D3,5.0,GST-PR-ADCDA993
ec2e006556300a79a5a91e4876ab3a56,Sao Paulo Merchant EC2E00,1.25,GST-SP-3828C212
b2a6d334e2833acea353624840e25a0e,Sao Paulo Merchant B2A6D3,4.48,GST-SP-3A6AC055
d3674f271c91f824f82d24d92011f669,Brasilia Merchant D3674F,4.1,GST-DF-0E2967D6
768de2a4fc06aacecb9a586ccc30746a,Brasilia Merchant 768DE2,4.43,GST-DF-50F98D45
a81466620e46a6970b22ef40379fdfc9,Sao Ludgero Merchant A81466,5.0,GST-SC-D77B31A2
5c030029b5916fed0986310385ec9009,Sao Jose Merchant 5C0300,4.86,GST-SC-B10EA8EE
c0f783394e37cd9c9d7f5f81141450fa,Piracicaba Merchant C0F783,3.6,GST-SP-B48DB1C4
c353f8fc0ce8344999f17d578eb69a5e,Porto Alegre Merchant C353F8,5.0,GST-RS-72662440
8444e55c1f13cd5c179851e5ca5ebd00,Congonhal Merchant 8444E5,3.26,GST-MG-0C7188AE
28a26ebce31d5918b181ede016fd693b,Belo Horizonte Merchant 28A26E,5.0,GST-MG-4A0E7239
41ab63a91b8b264e8c8780368bf1dd5b,Belo Horizonte Merchant 41AB63,4.25,GST-MG-FDABCEC0
8759e7aedd644f487315e5860962f162,Santo Andre Merchant 8759E7,3.67,GST-SP-3F2006B3
e546117ed9cafbc40239c0c78635c584,Sao Paulo Merchant E54611,4.5,GST-SP-F27A572E
d71d863e5ef30d94e440c11be17dcd8f,Osasco Merchant D71D86,2.96,GST-SP-F8906D8C
0c7533c71df861ec58ad7ff999ed0e8d,Valinhos Merchant 0C7533,4.1,GST-SP-E9F6DABB
ef990a83bbea832f36ebe81376335aa8,Joinville Merchant EF990A,3.63,GST-SC-4F9AB824
41e0fa5761c886a630994a55c12087e7,Guaruja Merchant 41E0FA,5.0,GST-SP-9F7066B6
0747d5bb69f0586cc869d8af4c50f93e,Saquarema Merchant 0747D5,3.36,GST-RJ-CB6138E3
7d294cf9a6a69dc6a0c3e540fff0e039,Barra Velha Merchant 7D294C,4.4,GST-SC-9022CBD8
c89cf7c468a48af70aada384e722f9e2,Petropolis Merchant C89CF7,4.0,GST-RJ-23E7F3DA
b7ba853e9551f4558440881fd3e5c815,Santo Antonio Da Patrulha Merchant B7BA85,1.0,GST-RS-6CF5D650
13c2ed7698b3ca92dad49e849219da59,Ponta Grossa Merchant 13C2ED,4.38,GST-PR-821C9A21
cbbd5ae8f53de5f5097cd8217b529e24,Santana De Parnaiba Merchant CBBD5A,2.5,GST-SP-7526F41A
02ecc2a19303f05e59ce133fd923fff7,Santo Andre Merchant 02ECC2,4.62,GST-SP-64EA1246
c013e57c075a06e5b5c48ee03c525719,Sao Carlos Merchant C013E5,4.24,GST-SP-0E3632F3
55f7a3319d80f7fdf078b8f03e6725fe,Osasco Merchant 55F7A3,3.77,GST-SP-2E429FAF
2d50d6282f8aa2257819a77bfaa0efe0,Ibitinga Merchant 2D50D6,3.7,GST-SP-38EE2CF0
b7e1750c1157341d2abd0251e07c186b,Sao Paulo Merchant B7E175,4.33,GST-SP-339A7F00
b90e891671cffd9557f33a97dc523645,Sao Jose Dos Pinhais Merchant B90E89,4.32,GST-PR-FE12693B
a416b6a846a11724393025641d4edd5e,Sao Paulo Merchant A416B6,4.15,GST-SP-BA8991A0
7e93a43ef30c4f03f38b393420bc753a,Barueri Merchant 7E93A4,4.21,GST-SP-DAE7E149
5206cc4bc2297c833e6061c49bf9c43f,Osasco Merchant 5206CC,1.0,GST-SP-E3A2FF1C
f410c8873029fcc3809b9df6d0b28914,Caxias Do Sul Merchant F410C8,5.0,GST-SP-D6DBC96B
ef506c96320abeedfb894c34db06f478,Sao Paulo Merchant EF506C,3.93,GST-SP-970ABBD4
a13aaf2d2886ab9fb30fb9a920160b8f,Joinville Merchant A13AAF,4.5,GST-SC-83303948
7299e27ed73d2ad986de7f7c77d919fa,Araguari Merchant 7299E2,4.42,GST-MG-27E38AF7
8a9260f2b0340411d6d2a56bcf4f7378,Contagem Merchant 8A9260,4.75,GST-MG-DF2CB74C
dedcab67899479e4ea5dcc4eba47f587,Jaragua Do Sul Merchant DEDCAB,4.5,GST-SC-77016C62
b2479f944e1b90cf8a5de1bbfde284d6,Ibitinga Merchant B2479F,3.41,GST-SP-3FF5A278
7722b1df1b0e383e000397b2c11e3e19,Sao Bernardo Do Campo Merchant 7722B1,4.23,GST-SP-B1C13915
731ef20c231d9a7103a425e83fd91271,Lages - Sc Merchant 731EF2,3.5,GST-SC-E42B2ACD
78813699ffac347fe27dba345a5f1551,Bento Goncalves Merchant 788136,5.0,GST-RS-A25305F8
3296662b1331dea51e744505065ae889,Catanduva Merchant 329666,5.0,GST-SP-FEFE0F49
411f3b52d857390502ee4e4d5ceabc2d,Ribeirao Pires Merchant 411F3B,4.11,GST-SP-2D5EC2C9
bba3293d6f5d5af2f415e004e8b93ae3,Sao Paulo Merchant BBA329,4.29,GST-SP-5ED090FE
4e7c18b98d84e05cbae3ff0ff03846c2,Jaboticabal Merchant 4E7C18,4.18,GST-SP-24A60118
b56906f7fd1696e043f1bcce164c487b,Echapora Merchant B56906,4.0,GST-SP-FBA97415
d650b663c3b5f6fb392b6326366efa9a,Cotia Merchant D650B6,4.2,GST-SP-8B6BCDAD
669ae81880e08f269a64487cfb287169,Rio Do Sul Merchant 669AE8,4.22,GST-SC-D1BA5BF6
c2d70ce2c5d0a2eb75e78668236e6dc8,Sao Paulo Merchant C2D70C,4.62,GST-SP-8AF065C9
674207551483fec113276b67b0d871ff,Sorocaba Merchant 674207,5.0,GST-SP-0EAF20DB
